userid,event,timestamp,date
104,display_element,1476287614857
104,i am looking for football,1476287634987
104,i am looking for football in mumbai,1476287687013
103,i am looking for football ,1476287708186
104,wash_element,1476287725279
104,i wanna go play some shit,1476287925077,10/12/2016
104,i wanna go play some shit maybe football,1476288275618,10/12/2016
104,in mumbai looking for sports event today,1478342197253,11/05/2016
104,in mumbai looking for sports event today,1478342254770,11/05/2016
104,in mumbai looking for sports event tomorrow,1478342271936,11/05/2016
104,in mumbai looking for sports event,1478342322939,11/05/2016
104,in mumbai looking for sports event,1478342378265,11/05/2016
104,in mumbai looking for sports event,1478342415670,11/05/2016
